# type (r;w;u;1-9),class,name,comment,QQ,ZZ,PBSB,ID,field1,part (m;s),type / templates,divider / values,unit,comment [1],field2,part (m;s) [1],type / templates [1],divider / values [1],unit [1],comment [2],field3,part (m;s) [2],type / templates [2],divider / values [2],unit [2],comment [3],field4,part (m;s) [3],type / templates [3],divider / values [3],unit [3],comment [4],field5,part (m;s) [4],type / templates [4],divider / values [4],unit [4],comment [5],field6,part (m;s) [5],type / templates [5],divider / values [5],unit [5],comment [6],field7,part (m;s) [6],type / templates [6],divider / values [6],unit [6],comment [7]
r;u,SM2,temp_76_06,,,76,5022,002b03,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,SM2,temp_76_08,,,76,5022,002c03,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,SM2,temp_76_10,,,76,5022,002d03,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,SM2,temp_76_11,,,76,5022,002e0a,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,SM2,temp_76_12,,,76,5022,002f0a,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,SM2,temp_76_13,,,76,5022,00300a,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,SM2,temp_76_14,,,76,5022,00474e,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,SM2,temp_76_15,,,76,5022,00484e,,,HEX:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,SM2,temp_76_16,,,76,5022,00494e,,,HEX:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,SM2,temp_76_17,,,76,5022,004a4e,,,HEX:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,SM2,temp_76_18,,,76,5022,004b4e,,,HEX:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,SM2,temp_76_19,,,76,5022,004c4e,,,HEX:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,SM2,temp_76_20,,,76,5022,004d4e,,,SIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
